Network,Twitter JSON all,
Average retweets per tweet,0.340,
Min retweets per tweet,0,
Max retweets per tweet,165,
Stddev retweets per tweet,0.988,
Average distinct mentions per tweet,0.182,
Min distinct mentions per tweet,0,
Max distinct mentions per tweet,24,
Stddev distinct mentions per tweet,0.457,
Average distinct hashtags per tweet,0.186,
Min distinct hashtags per tweet,0,
Max distinct hashtags per tweet,11,
Stddev distinct hashtags per tweet,0.578,
Average distinct words per tweet,N/A,
Min distinct words per tweet,N/A,
Max distinct words per tweet,N/A,
Stddev distinct words per tweet,N/A,
Latitude minimum,-42,
Latitude maximum,64,
Longitude minimum,-159,
Longitude maximum,147,
