Attribute,Measure,Group,Min,Mean,Max,Stddev,
LANGUAGE,weakComponentMembers-1,En,1,758547.039,1606305,464650.345,
LANGUAGE,weakComponentMembers-1,Und,41,800252.634,1606272,461350.962,
LANGUAGE,weakComponentMembers-1,Pt,268,814209.102,1604809,456510.559,
LANGUAGE,weakComponentMembers-1,In,270,814483.045,1605819,444499.952,
LANGUAGE,weakComponentMembers-1,Fr,304,901492.113,1605824,449918.519,
LANGUAGE,weakComponentMembers-1,Es,367,863087.731,1605966,337328.448,
LANGUAGE,weakComponentMembers-1,Ru,507,846897.066,1565397,278789.996,
LANGUAGE,weakComponentMembers-1,Pl,557,747901.086,1605149,468151.138,
LANGUAGE,weakComponentMembers-1,Cy,620,868140.679,1603615,501598.675,
LANGUAGE,weakComponentMembers-1,Tr,656,799960.044,1605202,482263.472,
LANGUAGE,weakComponentMembers-1,Nl,683,799154.697,1596621,464738.014,
LANGUAGE,weakComponentMembers-1,No,1024,831445.956,1600301,468475.785,
LANGUAGE,weakComponentMembers-1,Ht,1164,737108.875,1605179,483760.027,
LANGUAGE,weakComponentMembers-1,Da,1552,764906.888,1597873,471714.759,
LANGUAGE,weakComponentMembers-1,Tl,1812,821783.816,1602345,460467.390,
LANGUAGE,weakComponentMembers-1,De,2146,776835.171,1606029,465543.214,
LANGUAGE,weakComponentMembers-1,Et,2154,789094.120,1600797,446768.030,
LANGUAGE,weakComponentMembers-1,It,2638,803805.202,1605552,456702.214,
LANGUAGE,weakComponentMembers-1,Sv,2990,766033.498,1568410,474001.083,
LANGUAGE,weakComponentMembers-1,Cs,6217,769232.090,1599413,434412.965,
LANGUAGE,weakComponentMembers-1,Ro,8746,863681.271,1600264,454830.942,
LANGUAGE,weakComponentMembers-1,Lt,9172,800704.572,1591932,457944.822,
LANGUAGE,weakComponentMembers-1,Sl,10516,927943.294,1589611,396468.873,
LANGUAGE,weakComponentMembers-1,Is,15925,979925.872,1603306,488210.258,
LANGUAGE,weakComponentMembers-1,Vi,16356,627875.500,1601530,451119.900,
LANGUAGE,weakComponentMembers-1,Hu,18320,793988.319,1605111,473180.231,
LANGUAGE,weakComponentMembers-1,Hi,19697,778322.390,1564315,361318.257,
LANGUAGE,weakComponentMembers-1,Lv,22337,898929.143,1599537,489405.398,
LANGUAGE,weakComponentMembers-1,Fi,25722,825408.287,1579349,424371.789,
LANGUAGE,weakComponentMembers-1,Eu,25741,771944.918,1599920,477293.527,
LANGUAGE,weakComponentMembers-1,Ja,30513,929914.107,1564624,435536.185,
LANGUAGE,weakComponentMembers-1,Iw,99219,1168355.389,1587398,428737.883,
LANGUAGE,weakComponentMembers-1,Ko,118915,914565.265,1468558,369812.819,
LANGUAGE,weakComponentMembers-1,Uk,124789,831511.683,1145851,167566.615,
LANGUAGE,weakComponentMembers-1,Ur,165482,742946.222,1122368,247409.234,
LANGUAGE,weakComponentMembers-1,Ar,208965,849212.773,1599891,217617.922,
LANGUAGE,weakComponentMembers-1,Zh,208967,887725.734,1604875,176330.512,
LANGUAGE,weakComponentMembers-1,El,236956,705044.778,1436940,471806.380,
LANGUAGE,weakComponentMembers-1,Fa,539347,844347.146,1146308,179665.146,
LANGUAGE,weakComponentMembers-1,My,541163,908982.571,1095565,133916.294,
LANGUAGE,weakComponentMembers-1,Km,554177,848554.267,1145624,199922.590,
LANGUAGE,weakComponentMembers-1,Sr,688489,707048.500,725608,18559.500,
LANGUAGE,weakComponentMembers-1,Bg,1027480,1027480,1027480,0,
IS_GEOTAGGED,weakComponentMembers-1,1,5729,813647.200,1604357,350633.207,
IS_GEOTAGGED,weakComponentMembers-1,No Value,1,760951.233,1606305,463695.091,
IS_RETWEET,weakComponentMembers-1,1,1,679053.482,1606301,452381.170,
IS_RETWEET,weakComponentMembers-1,No Value,1,803153,1606305,463700.312,
HAS_URL,weakComponentMembers-1,1,1,776670.844,1606305,468180.232,
HAS_URL,weakComponentMembers-1,No Value,2,740174.247,1606300,456681.787,
